Γ,Jₚ,Jₕ
0.0,7.993106901828774e-15,2.873314521789175e-15
0.02631578947368421,0.0023694423795344553,0.00026840674482333057
0.05263157894736842,0.0044325083844402305,0.0004560035793357151
0.07894736842105263,0.006229920823183485,0.0005831290031263907
0.10526315789473684,0.007797392369809207,0.0006650687446627174
0.13157894736842105,0.009165973584494544,0.0007133445993791288
0.15789473684210525,0.010362516560294709,0.0007366644478030952
0.18421052631578946,0.011410168456313128,0.0007416248673861574
0.21052631578947367,0.01232884862656022,0.0007332322916245692
0.23684210526315788,0.013135686615608199,0.0007152906163175742
0.2631578947368421,0.01384541218533954,0.0006906903303969629
0.2894736842105263,0.01447069637965099,0.0006616250210282651
0.3157894736842105,0.015022446642623996,0.0006297543256860021
0.34210526315789475,0.015510060666599764,0.0005963273459024502
0.3684210526315789,0.015941644001886177,0.0005622767531669289
0.39473684210526316,0.016324196202385167,0.0005282910202181692
0.42105263157894735,0.016663769807519282,0.0004948701792571366
0.4473684210526316,0.01696560596191136,0.00046236905927162886
0.47368421052631576,0.017234250012782386,0.00043103092916293626
0.5,0.017473650013607598,0.0004010137484458116
